What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
What is the best Hotel PMS?	What Is the Best X Application for Y?; Hotel Management; 	
What is the most luxurious hotel in India?	Travel; Hotels; India; 	
What is the best hotel in Maui?	Maui; Travel; Hotel Recommendations; Hotels; 	
What is the most luxurious hotel in the world?	Travel; 	
What's the worst hotel in London?	Hotel Recommendations; London, UK; Hotels; Hotels in London; 	
What's the worst hotel in Turku?	Hotels; 	
What's the worst hotel in Belgrad?	Serbia; Belgrade; Travel; Hotel Recommendations; 	
What's the worst hotel in Puebla?	Travel; Puebla; Hotels; 	
What's the worst hotel in Jamaica?	Jamaica; Travel; Hotels; 	
What's the worst hotel in Nepal?	Kathmandu; Travel; Hotels; Kathmandu, Nepal; Nepali; Nepal; 	
What's the worst hotel in Peru?	Travel; South America; Peru; Hotels; 	
What's the worst hotel in Lima?	Travel; Lima, Peru; Hotels; South America; 	
What's the worst hotel in Montevideo?	Uruguay; Montevideo; Travel; Hotels; 	
What's the worst hotel in the world?	The World; Management; Hotels; Hotel Management; 	
What's the worst hotel in Antalya?	Travel; Hotels; Antalya, Turkey; Turkey (country); 	
What's the worst hotel in Karachi?	Hotels; Travel; Pakistan; Karachi,  Pakistan; Asia; 	
What's the worst hotel in Hawaii?	Hawaii (state); Travel; Hotels; 	
What's the worst hotel in Valetta?	Malta; Travel; Hotels; Valetta; 	
What are the best hotels in Bali?	Bali, Indonesia; Indonesia; Travel; Thailand; 	
What's the best hotel on Maui?	Hotels and Lodging; Hawaii (state); Hotels; Maui; 	Looking to arrange a family vacation on Maui.  Our kids are 8 and 5.  have stayed at the grand Hyatt on Kauai, looking for something similar.
What's the best hotel in Calgary?	Hotels; Travel and Tourism in Canada; Calgary, AB; 	The answer to this question does not necessarily hinge on luxury or opulence.  I'd appreciate it if repliers would factor in location (proximity to downtown), convenience and cost.
What are the best hotels in Taipei?	International Travel; Taiwan; What Are the Best Hotels in X City?; Luxury Hotels; Taipei; Best Hotels; Travel in Asia; 	
What does it take to start a hotel?	Vacations; Real Estate; Commercial Real Estate; Hotels; International Travel; Travel; 	In terms of finding location, development, building, etc.
What is the best hotel in Gettysburg?	Hotels; Gettysburg, PA; 	
What are some things that I have to bring to a hotel?	Hotels; 	And things that I don't have to bring?  E.g. I probably don't need to bring a towel. What about shampoo?
What are the best hotels in Berlin?	Hotels; International Travel; Travel; Tourism; Berlin; 	This question is intended to become a guide for Berlin accomodations. So, please divide your answers, or classify them, in the following categories:  - Luxury (Big 5-star chains) - Cool/Trendy Luxury (still 5-star, very luxurious, but hip and trendy) - Cool/Trendy in a budget (cool hotels that don´t cost so much) - Plain budget deals with a minimum of coolness (hostels, great deals, but attractive to average Quora users)
What is the difference between a hotel and a motel?	Hospitality; Hotels; Motel; Hotel Management; 	Yes, we know one is bigger than the other, but what really differentiates the two?  Architecture, services provided, etc.?  Where is the line?
What are good Hotels in Praha?	Hotels; 	
What hotels in NYC don't have bedbugs?	Travel; Hotels in New York City; Bedbugs; Hotels; New York City; 	
What should I look for in a hotel in Paris?	France; Paris; 	Looking for a nice hotel for our first time in Paris.  Location recommendations, things to look out for, and specific recommendations would be much appreciated.
What's the worst hotel in Pamplona?	Hotels; 	
What's the worst hotel in Paris?	Hotels; Travel; Paris; Europe; France; 	
What's the worst hotel in Switzerland?	Switzerland; Hotel Recommendations; Hotels; 	
What's the worst hotel in Andorra?	Andorra; Hotels and Lodging; 	
What's the worst hotel in Russia?	Hotels; Russia; Travel; 	
What's the worst hotel in Glasgow?	Worst of X; Hotels; Glasgow, UK; 	
What's the worst hotel in the USA?	Hotels; 	
What's the worst hotel in Seoul?	Seoul; South Korea; Travel; Hotels; 	
What's the worst hotel in Melbourne?	Travel; Melbourne, Victoria, Australia; Hotels; 	
What's the worst hotel in Reunion?	Réunion (France); France; Hotels; Travel; 	
What's the worst hotel in Beirut?	Beirut, Lebanon; Travel; Hotels; 	
What's the worst hotel in Lebanon?	Lebanon; Hotels; Travel; 	
What's the worst hotel in Bansko?	Travel; Bansko, Bulgaria; Bulgaria; Hotels; 	
What's the worst hotel in Corsica?	Corsica, France; Travel; Hotels; 	
What's the worst hotel in Bogotá?	Hotels; Travel; Bogota; 	
What's the worst hotel in Lanzarote?	Canary Islands; Lanzarote; Travel; Hotels; 	
What's the worst hotel in T'bilisi?	Hotels; Georgia (country); Asia; Travel; 	
What's the worst hotel in Taipei?	Asia; China; Hotels; Taipei; Travel; 	
What's the worst hotel in Lithuania?	Lithuania; Travel; Hotels; 	
What's the worst hotel in Vilnius?	Travel; Lithuania; Hotels; Vilnius, Lithuania; 	
What's the worst hotel in Tallinn?	Estonia; Hotels; Tallinn, Estonia; Travel; 	
What's the worst hotel in Belarus?	Hotels; Belarus; Travel; 	
What's the best hotel in Asturias?	Hotels; Quality; What Are the Best Hotels in X City?; Spain; Asturias, Spain; 	quality/price/kindness/etc..
What's the worst hotel in Madrid?	Hotels; Madrid, Spain; 	
What's the worst hotel in Amsterdam?	Hotels in Amsterdam; Amsterdam; Travel; Hotels; 	
What's the worst hotel in Cairo?	Hotels; Travel; Cairo; Egypt; 	
What's the worst hotel in Bulgaria?	Bulgaria; Travel; Hotels; 	
What's the worst hotel in Greece?	Greece; Travel and Tourism in Greece; Hotels; Travel; 	
What's the worst hotel in Thessaloniki?	Travel and Tourism in Greece; Thessaloniki, Greece; Greece; Hotels; Travel; 	
What's the worst hotel in Indonesia?	Hotels; Travel; Indonesia; 	
What's the worst hotel in Tonga?	Travel; South Pacific; Hotels; Tonga; 	
What's the worst hotel in Lisbon?	Hotels; Europe; Travel; Portugal; Lisbon; 	
What are the cheapest hotels in Philadelphia?	Hotels; Philadelphia; 	
What is a great hotel in Vancouver?  	Hotels; Travel; Vancouver, BC; 	what is the best hotel under $150 in Vancouver, B.C.?
What is a great hotel in Yokohama?	Hotels and Lodging; Hotel Recommendations; Travel and Tourism in Japan; Hotels; Japan; Yokohama, Japan; 	
What's the worst hotel in Miami?	Hotels; Miami; Travel; The United States of America; 	
What's the worst hotel in Marrakech?	Marrakesh; Travel; Hotels; 	
What's the worst hotel in Casablanca?	Travel; Casablanca, Morocco; Hotels; 	
What's the worst hotel in Cameroun?	Cameroon; Hotels; Travel; 	
What's the worst hotel in Angola?	Travel; Hotels; Angola; 	
What's the worst hotel in Mozambique?	Travel; Hotels; Mozambique; 	
What's the worst hotel in Cusco?	Peru; Hotels; Cusco, Peru; Travel; 	
What's the worst hotel in Tahiti?	Hotels; French Polynesia; 	
What's the worst hotel in Hanoi?	Travel; Hotels; Hanoi, Vietnam; 	
What's the worst hotel in Mallorca?	Majorca; Travel; Hotels; Balearic Islands; 	
What's the worst hotel in Budapest?	Hotels; Travel; Budapest; Europe; Hungary; 	
What's the worst hotel in Borneo?	Asia; Borneo; Hotels; Travel; 	
What is the best hotel in Edinburgh?	International Travel; Edinburgh, UK; Scotland; Hotel Recommendations; 	
What are the best hotels in Amsterdam?	Luxury Hotels; Amsterdam; Hotels; 	
What is the best hotel in Istanbul?	Travel; 	
What are some luxury cheap hotels?	Deals (Daily, Group and Other); Luxury Hotels; Hotel Recommendations; Hotels; 	The question came upon me when I came accross a beautiful 5 star hotel in Bulgaria, a former governmental residence, where you can spend a night with a surprising EUR 23 per person: http://www.arbanassipalace.bg/main/index.php?lang=en
What are good Hotels in Dresden?	Hotels; 	
What citizenM Hotels  stands for?	Brands and Branding; citizenM Hotels; 	
What are some good hotels in Florida?	Florida; Hotels in Florida; Hotel Recommendations; What Are the Best Hotels in X City?; 	
What makes a hotel good?	Hotels; 	Except for places please. I mean it's about service and equipment.
What's the worst hotel in Kyoto?	Hotels; Kyoto, Japan; Travel; Japan; 	
What's the worst hotel in Nicaragua?	Nicaragua; Hotels; Travel; 	
What's the worst hotel in Venezuela?	Venezuela; Hotels; Travel; 	
What's the worst hotel in Bolivia?	Hotels; Travel; Bolivia; 	
